GNIS_ID,GNIS_Name,area_acre,area_buffe,building_acres,road_acres,other_impervious_acres,total_impervious_acres,total_impervious_percent,Latitude,Longitude
205108,Ansonia Reservoir,30,30,0.17914192,0.357167423,0.184897784,0.721207127,2.404023758,41.3247,-73.0729
206252,Chestnut Hill Reservoir,65,41,1.438065923,1.834938288,1.564386049,4.83739026,11.79851283,41.5971,-73.009
209680,Peck Pond,27,31,0,0.731953919,0.056939967,0.788893886,2.544818987,41.8018,-73.4683
205495,Big Pond,39,33,0.279835685,0.69701314,0.508390556,1.48523938,4.500725395,41.6689,-72.1762
209030,Moosup Pond,89,41,2.006956293,1.887674809,2.491436233,6.386067335,15.57577399,41.73467,-71.866
207749,Lake Hayward,172,93,5.044158107,6.084040165,4.645951259,15.77414953,16.96145111,41.521,-72.3297
209045,Morgan Pond Reservoir,146,84,0,1.391877413,0,1.391877413,1.65699692,41.4114,-72.0325
206510,Cream Hill Lake,67,37,0.175174887,0,2.105956174,2.281131061,6.165219084,41.8849,-73.3078
205089,Amos Lake,112,61,1.809517412,1.791121602,3.619705501,7.220344515,11.83663035,41.5162,-71.9747
212322,Lake Zoar,742,408,15.99209598,15.77379036,34.88482532,66.65071166,16.33595874,41.387,-73.176
210861,Silver Lake,141,78,3.31342655,2.796984434,4.941156102,11.05156709,14.16867575,41.5857,-72.7693
209579,Pachaug Pond,817,293,8.003384424,3.966820002,9.431061374,21.4012658,7.30418628,41.5816,-71.9266
206648,Deep Lake,7,13,0.089994004,0.417944312,1.035607291,1.543545607,11.87342775,41.950671,-73.465605
212322,Lake Zoar,1595,814,15.99209598,15.77379036,34.88482532,66.65071166,8.188048115,41.387,-73.176
209014,Moodus Reservoir,441,252,3.979098294,5.021808147,5.059409278,14.06031572,5.579490365,41.51449,-72.42336
206085,Cedar Lake,71,40,0.913870806,2.161430597,2.226172743,5.301474147,13.25368537,41.401,-72.499
208753,Mashapaug Pond,298,147,1.508375511,0.486818284,5.652303885,7.64749768,5.202379374,42.0143,-72.132
207478,Green Fall Pond,46,46,0,0.896287799,0.494229356,1.390517155,3.02286338,41.532,-71.809
207253,Gardner Lake,527,134,3.888845691,1.159413099,6.676312591,11.72457138,8.749680135,41.5075,-72.222
205328,Beach Pond,348,119,3.644951377,2.350347042,5.839741894,11.83504031,9.945412028,41.5777,-71.7909
207711,Hatch Pond,66,44,0.227171503,1.936311722,0.788235544,2.951718768,6.708451745,41.6835,-73.4777
212226,Wononskopomuc Lake,348,73,2.2296261,0,5.440238791,7.669864891,10.50666423,41.9553,-73.4448
206160,Lake Chaffee,52,40,3.750570576,3.560043097,5.070634275,12.38124795,30.95311987,41.9394,-72.1953
212900,Tyler Lake,187,86,3.115448346,1.249613047,2.023494867,6.388556259,7.42855379,41.8374,-73.2606
1771176,Bolton Lake,176,66,2.953927137,1.320230603,3.236807011,7.510964752,11.38024962,41.801118,-72.435286
209620,Park Pond,75,53,0.545360359,0.687936246,1.52647315,2.759769755,5.207112746,41.89215,-73.1461
210050,Lake Quassapaug,297,147,3.254034153,2.468087912,6.760883326,12.48300539,8.491840402,41.53059,-73.15432
207373,Gorton Pond,52,62,2.613080155,3.132627487,3.184623682,8.930331325,14.4037602,41.3422,-72.2101
207318,Glasgo Pond,81,79,1.051710066,1.427806973,2.814184063,5.293701102,6.700887471,41.56,-71.882
212296,Wyassup Lake,101,53,1.441902645,1.891338348,1.808433586,5.14167458,9.701272792,41.4913,-71.8726
