STA_SEQ,YLat,XLong,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,HydroID,DrainID,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,bcg2_basin
19939,41.139,-73.62286,207425,Grays Pond,0.015,0,102000984,102000984,2,3.29,1.59,1,7,4656,4434,0,0.952319588,1.257861635,0.017298216,10.83060055,0,626.1108253,0,0.303951368,1,3,3,1,8,2,
18934,41.37493,-72.22935,209639,Pattagansett Lake,0.509,63,108002019,108002019,3,9.459489,3.8071,2,0,10951,26244,0,2.396493,18.253356,0.192105,0,0,0,0,0.211428,2,1,3,1,7,2,
19304,41.508,-71.875,205507,Billings Lake,0.384,355,109004323,109004323,2,1.574006,0.788351,1,0,2266,291,0,0.128420124,1,0.006575175,0,0,0,0,0.635321593,1,1,3,1,6,2,
16006,41.9928,-72.131,205500,Bigelow Pond,0.104,642,107003558,107003558,3,14.212796,5.966379,4,0,17170,11660,0,0.679091439,16.77840002,0.317685488,0,0,0,0,0.281436531,1,1,3,1,6,2,1
18929,41.5793,-71.86052,205330,Beachdale Pond,0.151,266,109004069,109004069,4,42.763629,29.170429,8,0.92,83940,81500,0,0.970931618,17.68848426,2.240520068,1.42324,0,0.635227517,0,0.187074862,1,2,3,1,7,2,
20271,41.73467,-71.866,209030,Moosup Pond,0.361,280,109003257,109003257,1,1.599193,1.21749,1,0,3506,8022,0,2.288077581,12.14435341,0.039197912,0,0,0,0,0.625315393,2,1,3,1,7,2,1
15626,41.521,-72.3297,207749,Lake Hayward,0.698,348,106001731,106001731,3,9.99,3.31,1,0,9797,12330,0,1.258548535,5.826478179,0.091192313,0,0,0,0,0.1001001,1,1,3,1,6,2,1
16030,41.5162,-71.9747,205089,Amos Lake,0.455,130,108000754,108000754,3,4.929334,1.528429,0,0,4390,11279,0,2.569248292,35.03432253,0.088095489,0,0,0,0,0,2,1,1,1,5,1,
16188,41.387,-73.176,212322,Lake Zoar,3.004,101,103017014,103017014,7,3155.121287,1492.938867,114,161.47,4434937,10293746,20.86,2.321057999,8.633109421,185.5461141,249.8310101,32.27518964,1.346463176,0.173946999,0.036131733,2,3,2,2,9,3,
14525,41.5857,-72.7693,210861,Silver Lake,0.569,150,106002447,106002447,2,1.76,2.07,2,0,6003,65000,0,10.82791937,31.40096618,0.120484115,0,0,0,0,1.136363636,3,1,3,1,8,2,
14527,41.5808,-72.7723,210861,Silver Lake,0.569,150,106002447,106002447,2,1.76,2.07,2,0,6003,65000,0,10.82791937,31.40096618,0.120484115,0,0,0,0,1.136363636,3,1,3,1,8,2,
14528,41.5788,-72.7752,210861,Silver Lake,0.569,150,106002447,106002447,2,1.76,2.07,2,0,6003,65000,0,10.82791937,31.40096618,0.120484115,0,0,0,0,1.136363636,3,1,3,1,8,2,
15631,41.5816,-71.9266,209579,Pachaug Pond,3.306,159,109004022,109004022,4,101.319442,52.426038,12,0.92,150889,198553,0,1.315887838,23.438009,5.260549648,1.42324,0,0.270549675,0,0.118437289,1,2,3,1,7,2,
19760,41.950671,-73.465605,206648,Deep Lake,0.028,753,103001092,103001092,1,0.33,0.26,0,0,767,2506,0,3.267275098,0,0.00016812,0,0,0,0,0,2,1,1,1,5,1,
15873,41.5036,-72.4071,209014,Moodus Reservoir,1.784,357,106001888,106001888,4,25.4,10.66949,3,0,31342,23589,0,0.752632251,5.327038375,0.360994121,0,0,0,0,0.118110236,1,1,3,1,6,2,
20052,41.51449,-72.42336,209014,Moodus Reservoir,1.784,357,106001888,106001888,4,25.4,10.66949,3,0,31342,23589,0,0.752632251,5.327038375,0.360994121,0,0,0,0,0.118110236,1,1,3,1,6,2,
19306,41.401,-72.499,206085,Cedar Lake,0.286,241,106000864,106000864,3,10.38,3.252783,1,0,9656,4567,0,0.472970174,3.739487946,0.071409235,0,0,0,0,0.096339114,1,1,2,1,5,1,1
15085,42.0143,-72.132,208753,Mashapaug Pond,1.206,0,107003611,107003611,3,12.802503,4.966832,4,0,14292,11435,0,0.800097957,15.23272214,0.242200548,0,0,0,0,0.312438904,1,1,3,1,6,2,1
19321,41.53057,-71.80975,207478,Green Fall Pond,0.187,312,110001023,110001023,2,4.819012,2.199314,1,0,6328,1302,0,0.205752,2.593723,0.036929,0,0,0,0,0.207511,1,1,3,1,6,2,1
16008,41.5075,-72.222,207253,Gardner Lake,2.134,382,108000639,108000639,3,14.351841,5.586085,1,0,16063,20924,0,1.30262093,24.92039183,0.357938118,0,0,0,0,0.069677472,1,1,2,1,5,1,
15621,41.5777,-71.7909,205328,Beach Pond,1.41,296,109003990,109003990,2,5.041604,4.759777,1,0,13685,16511,0,1.206503471,10.28346179,0.188700253,0,0,0,0,0.198349573,1,1,3,1,6,2,
16349,41.6835,-73.4777,207711,Hatch Pond,0.266,388,103010250,103010250,2,6.88,3.558731936,1,0.51,10517,3759,0,0.357421318,10.74051906,0.135504907,0.789086612,0,5.82330654,0,0.145348837,1,3,3,1,8,2,
16154,41.9553,-73.4448,212226,Wononskopomuc Lake,1.409,724,103001021,103001021,2,2.8,2.532905478,0,0,7388,16613,0,2.248646454,0,0.002666452,0,0,0,0,0,2,1,1,1,5,1,
16011,41.8374,-73.2606,212900,Tyler Lake,0.758,1268,103006161,103006161,3,15.09962048,6.282095812,0,0,18742,12544,0,0.669298901,0.580325724,0.062121257,0,0,0,0,0,1,1,1,1,4,1,
18271,41.801118,-72.435286,1771176,Bolton Lake,0.714,667,107001479,107001479,2,6.035945,4.636684,2,0,13345,30083,0,2.254252529,7.910823946,0.160168388,0,0,0,0,0.331348281,2,1,3,1,7,2,1
18949,41.89215,-73.1461,209620,Park Pond,0.303,1135,103004961,103004961,1,0.82,0.435617249,1,0,1323,631,0,0.476946334,0,0.000314585,0,0,0,0,1.219512195,1,1,3,1,6,2,
19095,41.53059,-73.15432,210050,Lake Quassapaug,1.202,695,103013737,103013737,3,4.54,1.787326961,0,0,5357,8249,0,1.539854396,0,0.001746228,0,0,0,0,0,1,1,1,1,4,1,1
19662,41.533623,-73.152379,210050,Lake Quassapaug,1.202,695,103013737,103013737,3,4.54,1.787326961,0,0,5357,8249,0,1.539854396,0,0.001746228,0,0,0,0,0,1,1,1,1,4,1,1
19993,41.3422,-72.2101,207373,Gorton Pond,0.212,26,108002366,108002366,3,19.059323,6.867328,4,1.16,19765,133569,0,6.757855,24.593485,0.456878,1.794785,0,3.92837,0,0.209871,3,3,3,1,10,3,
19319,41.55804,-71.88815,207318,Glasgo Pond,0.329,184,109004122,109004122,4,63.612677,38.228036,9,0.92,110027,113266,0,1.029438229,18.8810799,3.215175501,1.42324,0,0.442663239,0,0.141481233,1,2,3,1,7,2,
18375,41.896243,-73.447374,205357,Beardsley Pond,0.121,849,103004933,103004933,1,0.48,0.33,0,0.25,971,589,0,0.606591143,0,0.000224558,0.386807163,0,1722.529756,0,0,1,3,1,1,6,2,
20053,41.40927,-72.52472,209643,Pattaconk Reservoir,0.211,322,106000942,106000942,3,6.39,1.802783,1,0,5409,658,0,0.121649103,0,0.001764578,0,0,0,0,0.156494523,1,1,3,1,6,2,1
19356,41.39,-72.698,210073,Quonnipaug Lake,0.389,181,104000789,104000789,3,6.923178,2.855883,1,0,8223,9330,0,1.134622401,12.19223617,0.110579501,0,0,0,0,0.144442336,1,1,3,1,6,2,
15615,41.69783,-73.37084,211809,Lake Waramaug,2.593,694,103010182,103010182,3,30.36126919,13.82775052,1,0,41381,36624,0,0.885043861,0.937383916,0.206130038,0,0,0,0,0.0329367,1,1,2,1,5,1,
18947,41.69186,-73.34863,211809,Lake Waramaug,2.593,694,103010182,103010182,3,30.36126919,13.82775052,1,0,41381,36624,0,0.885043861,0.937383916,0.206130038,0,0,0,0,0.0329367,1,1,2,1,5,1,
19031,41.698054,-73.359274,211809,Lake Waramaug,2.593,694,103010182,103010182,3,30.36126919,13.82775052,1,0,41381,36624,0,0.885043861,0.937383916,0.206130038,0,0,0,0,0.0329367,1,1,2,1,5,1,
15614,41.868925,-73.0977,205866,Burr Pond,0.337,988,105001521,105001521,2,3.51,1.428135,1,0,4165,6266,0,1.504441777,0.700213915,0.011304415,0,0,0,0,0.284900285,1,1,3,1,6,2,
18149,41.490909,-72.411045,205292,Bashan Lake,1.075,386,106001746,106001746,3,6.19,2.393066,1,0,7061,4975,0,0.704574423,1.270458603,0.02855971,0,0,0,0,0.161550889,1,1,3,1,6,2,
18154,41.935883,-72.372335,206553,Crystal Lake,0.758,638,107003139,107003139,3,9.657589,3.888224,1,0,11189,18446,0,1.64858343,8.866508361,0.13699352,0,0,0,0,0.103545512,1,1,3,1,6,2,
16010,41.3925,-72.2503,209973,Powers Lake,0.593,0,108001886,108001886,2,2.70475,1.025824,1,0,2954,263,0,0.089032,0.796198,0.00807,0,0,0,0,0.36972,1,1,3,1,6,2,
